question,article_number
What is the collective ownership status of land in Kenya as per this article?,61
What is the definition of public land according to this article?,62
How is public land classified?,62
"Who holds and administers public land classified under clauses (1)(a), (c), (d), or (e)?",62
Who holds and administers public land classified under clauses (1)(f) to (m)?,62
Under what conditions can public land be disposed of or used?,62
How does community land vest and who holds it?,63
What are the different types of community land?,63
How is unregistered community land managed?,63
What are the restrictions on disposing or using community land?,63
What legislative action is required to implement this article?,63
What types of land ownership are considered private land according to the Kenyan Constitution?,64
How is registered land defined in the context of private land?,64
What is the tenure for registered land under private land?,64
What other forms of land can be declared private land?,64
What is the legal process for declaring land as private under the Kenyan Constitution?,64
What type of land tenure is allowed for non-citizens?,65
What is the maximum duration for such leases?,65
How is a body corporate's citizenship determined for landholding purposes?,65
How is property held in trust treated in terms of citizenship for landholding?,65
What additional provisions can Parliament make regarding this Article?,65
How can the state control land use and property rights?,66
What are the reasons the state may regulate land use?,66
What role does Parliament play in ensuring property investments benefit local communities?,66
What kind of legislation should Parliament enact regarding property investments?,66
What are the expected outcomes of the legislation Parliament should enact on property investments?,66
What is the name of the commission established in this article?,67
What are the primary functions of the National Land Commission?,67
What kind of disputes does the commission encourage to be resolved traditionally?,67
"What does the commission assess and monitor, as per this article?",67
"What additional functions can the National Land Commission perform, according to this article?",67
What laws should Parliament revise and consolidate regarding land?,68
How will Parliament regulate land use laws according to Article 60(1)?,68
What are the minimum and maximum land holding acreages Parliament should prescribe for private land?,68
How will Parliament protect and provide access to public land?,68
What review process should Parliament establish for grants or dispositions of public land?,68
What are the key obligations of the state regarding the environment and natural resources?,69
What is the target tree cover percentage for Kenya?,69
How does the constitution protect intellectual property and indigenous knowledge related to biodiversity and genetic resources?,69
What role does the public play in managing and protecting the environment according to the constitution?,69
What measures does the constitution require to assess and monitor the environment?,69
What legal recourse does a person have if their right to a clean and healthy environment is being threatened?,70
What kind of orders can a court issue to protect the environment in such cases?,70
Can a court order public officers to take action to prevent environmental harm?,70
Is it necessary to prove loss or injury to file an environmental rights complaint?,70
What can a court do to compensate victims of environmental rights violations?,70
What transactions involving natural resources require Parliament's ratification?,71
When does Parliament need to ratify such transactions?,71
What types of transactions does Parliament need to legislate for ratification?,71
What is the purpose of Parliament enacting legislation for these transactions?,71
What is the timeline for Parliament's involvement in these transactions?,71
What kind of legislation should Parliament enact to fully implement this Part of the Constitution?,72
What specific environmental provisions should this legislation address?,72
How should Parliament ensure this legislation gives full effect to all environmental provisions in this Part?,72
What are the key environmental areas Parliament should focus on in this legislation?,72
What is the ultimate goal of the legislation Parliament should enact based on this Part?,72
What is the primary purpose of authority given to a State officer according to the Constitution?,73
"How should a State officer's decisions be influenced, according to the Constitution?",73
"What qualities are important for selecting or electing a leader, as per the guiding principles of leadership and integrity?",73
"What are the key aspects of selfless service expected from a leader, according to the Constitution?",73
"How is a leader accountable to the public, as per the guiding principles of leadership and integrity?",73
What is the required action before assuming a State office?,74
What should be done while acting in a State office?,74
What is necessary when performing any functions of a State office?,74
What is the prescribed manner and form for the oath or affirmation of office?,74
What are the sources for the manner and form of the oath or affirmation of office?,74
What behaviors should a State officer avoid in both public and private life?,75
What happens if a State officer compromises public interest for personal gain?,75
What are the consequences for a State officer who acts against the integrity of their office?,75
What disciplinary actions can be taken against a State officer who violates these conduct rules?,75
What is the consequence for a State officer who is dismissed for such violations?,75
What happens to gifts given to state officers on official occasions?,76
When can a state officer maintain a bank account outside Kenya?,76
In what circumstances should a state officer not seek or accept a personal loan or benefit?,76
What makes a state officer's integrity compromised in accepting a personal loan or benefit?,76
What is the consequence if a state officer maintains a bank account outside Kenya without parliamentary approval?,76
What activities are restricted for full-time State officers?,77
Can appointed State officers hold political party offices?,77
How many concurrent remunerative positions can retired State officers hold in State-owned companies or organs?,77
What is the limit on remunerative positions for retired State officers receiving pensions?,77
What other remuneration can retired State officers receive besides what's mentioned in clause (3)?,77
Who is eligible for election or appointment to a State office in Kenya?,78
Can a State officer or member of the defence forces hold dual citizenship?,78
Are there any exceptions to the citizenship requirements for State officers and defence forces members?,78
Who are exempt from these citizenship requirements?,78
What happens if a person becomes a citizen of another country without their consent?,78
What body is responsible for enacting legislation to establish the ethics and anti-corruption commission?,79
What is the status and powers of the commission?,79
What is the purpose of the commission?,79
What provisions does the commission ensure compliance with and enforce?,79
What chapter does the commission fall under?,79
What procedures and mechanisms should Parliament establish for the effective administration of Chapter 6?,80
"What penalties, besides those in Article 75, can be imposed for violating this Chapter?",80
How should this Chapter apply to public officers?,80
What additional provisions should Parliament make to promote leadership and integrity principles and enforce this Chapter?,80
What specific legislation should Parliament enact to ensure the principles of this Chapter are upheld?,80
How does the electoral system ensure freedom for citizens to exercise their political rights?,81
What is the gender representation requirement for elective public bodies?,81
How should persons with disabilities be represented in the electoral system?,81
What is the principle of universal suffrage based on in the electoral system?,81
What are the key aspects of free and fair elections as per the constitution?,81
What bodies are responsible for delimiting electoral units for national and county assembly elections?,82
"How does the constitution ensure voting is accessible to all citizens, including those with special needs?",82
What is the process for registering citizens residing outside Kenya to vote?,82
What are the key requirements for the conduct of elections and referenda as per the constitution?,82
How does the constitution ensure the nomination process for candidates is regulated and supervised?,82
Who qualifies to register as a voter?,83
Can a person be registered at multiple centers?,83
What should administrative arrangements for voter registration and elections ensure?,83
What are the requirements for a citizen to be registered as a voter?,83
What happens if a person is convicted of an election offence within the last five years?,83
Who enforces the code of conduct for candidates and political parties in elections?,84
What body is responsible for prescribing the code of conduct for elections?,84
What should all candidates and political parties do in every election?,84
Who ensures that candidates and political parties adhere to the code of conduct?,84
What is the purpose of the code of conduct in elections?,84
Who can stand as an independent candidate without being a party member?,85
What is the required time frame for not being a party member?,85
What qualifications must an independent candidate for the National Assembly or Senate meet?,85
What about for a county assembly?,85
Are there different requirements for different levels of assembly?,85
What voting method should the IEBC ensure is used at every election?,86
"Who is responsible for counting, tabulating, and announcing votes at each polling station?",86
Who is responsible for collating and announcing results from polling stations?,86
What measures should the IEBC put in place to prevent electoral malpractice?,86
How should election materials be secured?,86
How long does Parliament have to enact legislation for electoral dispute settlement?,87
"What is the timeframe for filing petitions regarding elections, excluding presidential ones?",87
What are the methods for serving electoral petitions?,87
What is the role of the Independent Electoral and Boundaries Commission in electoral disputes?,87
What kind of newspaper is suitable for serving petitions by advertisement?,87
What bodies or offices does one need to have not held or stood for election from to be eligible for the Commission?,88
What are the key responsibilities of the Independent Electoral and Boundaries Commission?,88
What is the timeframe for ineligibility for appointment to the Commission if one has held a specific office or stood for election?,88
What is the Commission not responsible for in terms of electoral disputes?,88
What legislation must the Commission comply with while performing its functions?,88
How often must the IEBC review constituency boundaries?,89
What factors can cause a constituency's population to differ from the quota?,89
When do new boundaries take effect?,89
Who can challenge the Commission's decisions on boundaries?,89
How long does the court have to review the Commission's decisions?,89
How are seats in Parliament and county assemblies allocated to political parties?,90
What is the role of the Independent Electoral and Boundaries Commission in these elections?,90
What are the requirements for a party list in these elections?,90
How does regional and ethnic diversity factor into party lists?,90
How are seats allocated to political parties after the election?,90
What are the fundamental requirements for a political party in Kenya as per the constitution?,91
What should a political party not do according to the constitution?,91
What are the key principles a political party must uphold to promote democracy and unity?,91
How should a political party ensure fairness and inclusivity in its operations?,91
What are the prohibited activities for political parties in Kenya?,91
How does the constitution ensure fair media coverage for political parties?,92
What restrictions does it place on the use of public resources for political parties?,92
What are the roles and functions of political parties as per the constitution?,92
How does the constitution regulate political parties and their broadcasts?,92
What are the necessary management aspects of political parties outlined in the constitution?,92
What are the two houses that make up the Parliament of Kenya?,93
How many houses does the Parliament of Kenya consist of?,93
What is the name of the lower house of the Kenyan Parliament?,93
What is the name of the upper house of the Kenyan Parliament?,93
"According to the Constitution, how many houses does the Kenyan Parliament have in total?",93
Who holds the legislative authority in Kenya at the national level?,94
How does Parliament represent the will of the people?,94
What can Parliament amend or alter according to the Constitution?,94
What is Parliament's role in protecting the Constitution?,94
Which body has the power to make laws in Kenya besides Parliament?,94
What does the National Assembly primarily represent?,95
What are the key functions of the National Assembly in terms of deliberation?,95
What is the role of the National Assembly in enacting legislation?,95
How does the National Assembly manage national revenue and expenditure?,95
"What is the oversight role of the National Assembly regarding the President, Deputy President, and other State officers?",95
What does the Senate primarily represent and protect?,96
How does the Senate contribute to law-making regarding counties?,96
What is the Senate's role in distributing national revenue among counties?,96
What kind of oversight does the Senate have over national revenue allocated to county governments?,96
In which capacity does the Senate participate in the oversight of State officers?,96
How many members does the National Assembly consist of in total?,97
"How are the members of the National Assembly elected, and what are the different categories of members?",97
What is the role of the Speaker in the National Assembly?,97
How many women are specifically elected to the National Assembly?,97
What special interests are represented by the nominated members of the National Assembly?,97
How many members are elected by county voters in the Senate?,98
How many women members are nominated to the Senate?,98
How are youth and persons with disabilities represented in the Senate?,98
Who is an ex-officio member of the Senate?,98
Can anyone contest an election under clause (1)(a)?,98
What are the basic qualifications for someone to be elected as a member of Parliament in Kenya?,99
"What are the specific educational, moral, and ethical requirements for a parliamentary candidate?",99
How many registered voters' signatures are required for an independent candidate to run for the National Assembly?,99
What are the grounds for disqualification from running for Parliament?,99
Can a person be disqualified from running for Parliament if they have a pending appeal or review of a decision against them?,99
How does the constitution ensure women's representation in Parliament?,100
What groups should Parliament prioritize for increased representation?,100
How can Parliament promote youth representation?,100
Which minorities should Parliament focus on for better representation?,100
How does the constitution aim to include marginalized communities in Parliament?,100
How often are general elections for members of Parliament held?,101
What happens when a vacancy occurs due to resignation or death of a member elected through a party list?,101
How is a vacancy filled for a member elected through a party list?,101
What is the process when a vacancy occurs for a member elected directly by the people?,101
Are by-elections held if a general election is approaching?,101
How long does the term of each House of Parliament last?,102
Under what circumstances can Parliament extend its term?,102
By how much can Parliament extend its term at a time?,102
For how long can Parliament extend its term in total?,102
What majority is required in each House to pass a resolution extending Parliament's term?,102
What are the circumstances that lead to a member of Parliament losing their seat?,103
How many consecutive sessions can a member miss without facing consequences?,103
What happens if a member leaves their political party after being elected?,103
What is the role of Parliament in legislating party resignations?,103
What are the grounds for a member's automatic disqualification from Parliament?,103
Who has the right to recall a member of Parliament?,104
When can a member of Parliament be recalled?,104
What should Parliament legislate regarding recall?,104
What are the grounds for recalling a member?,104
What is the procedure for recalling a member?,104
Who determines if a person has been validly elected as a parliament member?,105
What is the timeframe for resolving such disputes?,105
What kind of legislation should Parliament enact regarding this Article?,105
What happens if a parliament member's seat becomes vacant?,105
Who hears and determines these questions?,105
How are Speakers and Deputy Speakers of Parliament elected?,106
Who can be elected as Speaker or Deputy Speaker?,106
When does the office of Speaker or Deputy Speaker become vacant?,106
What happens if a new House of Parliament meets after an election?,106
How can the office holder resign?,106
Who presides over a single House of Parliament when the Speaker is absent?,107
Who presides over a single House of Parliament when both the Speaker and Deputy Speaker are absent?,107
Who presides over a joint sitting of the Houses of Parliament?,107
How is the presiding officer for a single House of Parliament in the absence of both the Speaker and Deputy Speaker elected?,107
Who assists the Speaker of the National Assembly during a joint sitting of the Houses of Parliament?,107
How are the leaders of the majority and minority parties determined in the National Assembly?,108
What is the order of precedence for these leaders in the National Assembly?,108
Who is the leader of the majority party?,108
Who is the leader of the minority party?,108
How are these leaders' positions affected by changes in the largest or second largest party or coalition?,108
How does Parliament exercise its legislative power?,109
Where can a Bill concerning county government originate from?,109
What are the requirements for passing a Bill not concerning county government?,109
How can a Bill concerning county government be passed?,109
Who can introduce a Bill in Parliament and under what conditions?,109
What makes a bill specifically about county government?,110
How are bills concerning county government categorized?,110
Who decides if a bill is about county government and its category?,110
What happens after one house of parliament passes such a bill?,110
What's the final step before a bill concerning county government becomes law?,110
How does a special Bill concerning a county government proceed in Parliament?,111
What is the required majority in the National Assembly to amend or veto a special Bill from the Senate?,111
What happens if the National Assembly fails to pass a resolution to amend or veto a special Bill?,111
Who refers the Bill to the President if the National Assembly's resolution fails?,111
How long does the Speaker have to refer the Bill to the President?,111
What happens if one House passes a Bill concerning counties and the second House rejects it?,112
How is a Bill concerning counties handled if the second House passes it in an amended form?,112
"After reconsideration, what occurs if the originating House passes the Bill as amended?",112
What happens if the originating House rejects the Bill as amended after reconsideration?,112
What is the timeframe for the Speaker to refer the Bill to the President for assent?,112
What happens when a Bill is referred to a mediation committee?,113
How is the mediation committee formed?,113
What is the role of the mediation committee once formed?,113
What happens if the mediation committee agrees on a version of the Bill?,113
What occurs if the mediation committee fails to agree or if a version is rejected by either House?,113
What are the specific matters that a money bill can deal with?,114
Who decides if a motion is a money bill?,114
What is the process if a motion is deemed a money bill?,114
What is the definition of a 'money bill' in this context?,114
What are the exceptions to what a money bill can deal with?,114
How long does the President have to act on a Bill after receiving it?,115
How can the President respond to a Bill?,115
What happens if Parliament amends a Bill based on the President's reservations?,115
What vote is required for Parliament to pass a Bill a second time with or without amendments?,115
What occurs if the President does not assent to or refer back a Bill within the prescribed time?,115
How long after assent is a Bill published as an Act?,116
When does an Act of Parliament come into force?,116
Under what condition does an Act not come into force immediately?,116
What exception is there to clause (3)?,116
When does clause (3) not apply?,116
What freedoms are guaranteed in Parliament regarding speech and debate?,117
How can Parliament regulate its own business and that of its committees?,117
What powers can Parliament grant to its leaders and committee chairs?,117
What immunities do members of Parliament enjoy?,117
How does Parliament ensure the orderly and effective discharge of its business?,117
How does Parliament ensure openness in its operations?,118
What are the ways Parliament involves the public in its business?,118
Under what conditions can the public or media be excluded from Parliament sittings?,118
How does Parliament facilitate public participation in its legislative process?,118
What role do committees play in public access and participation in Parliament's business?,118
Who can approach Parliament with a request?,119
What can be petitioned to Parliament about?,119
What should Parliament do regarding petitions?,119
How does Parliament decide on petitions?,119
What process does Parliament set for petitions?,119
What are the official languages of Parliament according to the Kenyan Constitution?,120
In which languages can the business of Parliament be conducted?,120
How is a conflict between different language versions of an Act of Parliament resolved?,120
Which version of an Act of Parliament prevails in case of a conflict between different language versions?,120
What role does the President play in resolving language conflicts in Acts of Parliament?,120
What is the minimum number of members required for the National Assembly to have a quorum?,121
What is the quorum for the Senate?,121
How does the quorum differ between the National Assembly and the Senate?,121
What is the quorum for the National Assembly in simple terms?,121
What is the quorum for the Senate in simple terms?,121
